Year,Tempurate Deviation
1910,-0.49
1911,-0.67
1912,-0.19
1913,-0.85
1914,0.13
1915,0.08
1916,-0.57
1917,-1.23
1918,-0.53
1919,-0.14
1920,-0.52
1921,-0.22
1922,-0.47
1923,-0.38
1924,-0.68
1925,-0.77
1926,-0.17
1927,-0.52
1928,0.16
1929,-0.85
1930,-0.24
1931,-0.58
1932,-0.41
1933,-0.44
1934,-0.35
1935,-0.49
1936,-0.13
1937,-0.35
1938,0.18
1939,-0.61
1940,-0.23
1941,-0.55
1942,0.07
1943,-0.63
1944,-0.4
1945,-0.3
1946,-0.73
1947,-0.26
1948,-0.46
1949,-0.94
1950,-0.61
1951,-0.43
1952,-0.43
1953,-0.45
1954,-0.37
1955,-0.32
1956,-0.92
1957,0.04
1958,0.14
1959,0.24
1960,-0.66
1961,0.05
1962,-0.11
1963,-0.13
1964,-0.22
1965,0.25
1966,-0.51
1967,-0.22
1968,-0.39
1969,-0.03
1970,-0.1
1971,-0.22
1972,0.15
1973,0.53
1974,-0.7
1975,-0.22
1976,-0.75
1977,-0.04
1978,-0.31
1979,0.37
1980,0.74
1981,0.27
1982,-0.04
1983,0.32
1984,-0.39
1985,0.21
1986,0.22
1987,0.18
1988,0.74
1989,-0.02
1990,0.48
1991,0.6
1992,0.12
1993,0.31
1994,0.18
1995,0.16
1996,0.6
1997,0.3
1998,0.97
1999,0.31
2000,-0.04
2001,0.05
2002,0.71
2003,0.69
2004,0.53
2005,1.16
2006,0.5
2007,0.76
2008,0.45
2009,0.93
2010,0.33
2011,0
2012,0.24
2013,1.34
2014,1.04
2015,0.94
2016,0.98
2017,1.04
2018,1.11
2019,1.5
2020,1.13
2021,0.56
2022,0.5
2023,0.98